fixed,Covidence_ID,Name_data_entry,Outbreak_ID,Article_ID,Outbreak_start_day,Outbreak_start_month,Outbreak_start_year,Outbreak_end_day,Outbreak_end_month,Outbreak_date_year,Outbreak_duration_months,Asymptomatic_transmission,Outbreak_country,Outbreak_location,Cases_confirmed,Cases_mode_detection,Cases_suspected,Cases_asymptomatic,Cases_severe,Deaths,Pre-Outbreak,Ongoing,Cases_unspecified,Population_size,Male_cases,Female_cases,Prop_female_cases,Prop_male_cases,Type_cases_sex_disagg,access_outbreak_id,Outbreak_data_ID,ID,Pathogen,num_rows,matching
1,1496,Anna Vicco,19,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Medellin,NA,Symptoms,351,NA,NA,NA,Unspecified,FALSE,NA,2486723,NA,NA,NA,NA,Suspected,19,571cc9464b6f655b5ee3ca9846559f89,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,20,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Bello,NA,Symptoms,32,NA,NA,NA,Unspecified,FALSE,NA,464614,NA,NA,NA,NA,Suspected,20,69b3d648efc3ec5ec30244cecd2f6a2e,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,21,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Envigado,NA,Symptoms,21,NA,NA,NA,Unspecified,FALSE,NA,227644,NA,NA,NA,NA,Suspected,21,2b917b55cc4b9ac8163f49e607dc860a,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,22,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Itagui,NA,Symptoms,40,NA,NA,NA,Unspecified,FALSE,NA,270903,NA,NA,NA,NA,Suspected,22,aabd121c7e72ed58c459b4ab95e34b3f,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,23,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Uraba Chigorodo,NA,Symptoms,164,NA,NA,NA,Unspecified,FALSE,NA,78148,NA,NA,NA,NA,Suspected,23,f0bbda4a578c128f1e88d2869507058d,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,24,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: San Pedro de Uraba,NA,Symptoms,23,NA,NA,NA,Unspecified,FALSE,NA,31539,NA,NA,NA,NA,Suspected,24,064e866fc12b1101a29a487705808cba,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,25,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Carepa,NA,Symptoms,102,NA,NA,NA,Unspecified,FALSE,NA,57220,NA,NA,NA,NA,Suspected,25,485b4cbf98173d69236ff281fe929b1e,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,26,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Turbo,NA,Symptoms,228,NA,NA,NA,Unspecified,FALSE,NA,163525,NA,NA,NA,NA,Suspected,26,e5af519ac22ca2232a814319398a2757,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,27,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Necocli,NA,Symptoms,36,NA,NA,NA,Unspecified,FALSE,NA,63991,NA,NA,NA,NA,Suspected,27,5a8c08b8eb3abbd9a57a3930dc7618a9,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,28,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Apartado,NA,Symptoms,315,NA,NA,NA,Unspecified,FALSE,NA,183716,NA,NA,NA,NA,Suspected,28,dfcaf85c68b544ce61c2eba05f1e1a13,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,29,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Valle Aburra: Mutata,NA,Symptoms,19,NA,NA,NA,Unspecified,FALSE,NA,21077,NA,NA,NA,NA,Suspected,29,414a39d0bae133d6c47547030c50c51b,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,30,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Nordeste: Remedios,NA,Symptoms,18,NA,NA,NA,Unspecified,FALSE,NA,29898,NA,NA,NA,NA,Suspected,30,bf21ebbd444eca0e2e19693ed4e7080e,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,31,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Magdalena Medio: Puerto Berrio,NA,Symptoms,61,NA,NA,NA,Unspecified,FALSE,NA,47717,NA,NA,NA,NA,Suspected,31,8a1a19d8cf6f3e1459d2a92ac8e29651,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,32,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Magdalena Medio: Puerto  Triunfo,NA,Symptoms,27,NA,NA,NA,Unspecified,FALSE,NA,20483,NA,NA,NA,NA,Suspected,32,f668f012f818daa6e4961a82d09f040e,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,33,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Magdalena Medio:  Occidente Sospetran,NA,Symptoms,17,NA,NA,NA,Unspecified,FALSE,NA,14821,NA,NA,NA,NA,Suspected,33,6f3211b8343e66e39a4504e6e31ea8d1,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,34,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Magdalena Medio: Oriente Rionegro,NA,Symptoms,18,NA,NA,NA,Unspecified,FALSE,NA,122231,NA,NA,NA,NA,Suspected,34,bb12d8d6d418bdca2ee93a2b70b0eb68,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1679,Richard Sheppard,1,5,10,Oct 10,2015,24,Jun 06,2017,NA,FALSE,Colombia,NA,9802,Molecular (PCR etc),108087,NA,NA,NA,Disease-free baseline,TRUE,NA,NA,35977,70478,66.2,33.8,Suspected,1,db2677afe8005db6a65696fd22383118,0d8b5564a7742b227124ca04b24da9c8,Zika virus,1,0
1,1821,Anna-Maria Hartner,1,6,26,Jun 06,2016,5,Aug 08,2016,NA,FALSE,United States,"Wynwood Neighborhood, Miami-Dade County, Florida",21,NA,NA,NA,NA,NA,NA,FALSE,NA,7725,NA,NA,NA,NA,NA,1,da673b6ac42d7715e0983ba0c2435277,ed2e15ef94a2a9d4d4b90d9186a7777e,Zika virus,1,0
